Player,Team,Pos,Injury,Status,INJURY_FLAG,INJURY_CATEGORY,IS_OUT,IS_LIMITED
Jarrett Allen,CLE,C,Finger,Questionable,0.5,Limited,0,1
Grayson Allen,PHX,G,Quadriceps,Questionable,0.5,Limited,0,1
Giannis Antetokounmpo,MIL,F,Thigh,Out,1.0,Out,1,0
OG Anunoby,NYK,F,Hamstring,Out,1.0,Out,1,0
Deandre Ayton,LAL,C,Illness,Questionable,0.5,Limited,0,1
Marvin Bagley,WAS,C,Hip,Out,1.0,Out,1,0
Paolo Banchero,ORL,F,Groin,Out,1.0,Out,1,0
Bradley Beal,LAC,G,Hip,Out For Season,0.0,Active,0,0
Bogdan Bogdanovic,LAC,G,Hip,Questionable,0.5,Limited,0,1
Adem Bona,PHI,C,Ankle,Out,1.0,Out,1,0
Christian Braun,DEN,G,Ankle,Out,1.0,Out,1,0
Jalen Brunson,NYK,G,Ankle,Probable,0.5,Limited,0,1
Matas Buzelis,CHI,F,Ankle,Questionable,0.5,Limited,0,1
Stephon Castle,SAS,G,Hip,Out,1.0,Out,1,0
Colin Castleton,ORL,C,Hand,Questionable,0.5,Limited,0,1
Brandon Clarke,MEM,C,Knee,Out,1.0,Out,1,0
Zach Collins,CHI,C,Wrist,Out,1.0,Out,1,0
Pat Connaughton,CHA,F,Calf,Questionable,0.5,Limited,0,1
N'Faly Dante,ATL,C,Knee,Out,1.0,Out,1,0
Anthony Davis,DAL,C,Calf,Out,1.0,Out,1,0
Nikola Durisic,ATL,F,Elbow,Questionable,0.5,Limited,0,1
Tari Eason,HOU,F,Oblique,Out,1.0,Out,1,0
Joel Embiid,PHI,C,Knee,Questionable,0.5,Limited,0,1
Dante Exum,DAL,G,Knee,Out For Season,0.0,Active,0,0
Dorian Finney-Smith,HOU,F,Ankle,Doubtful,1.0,Out,1,0
Rasheer Fleming,PHX,F,Ankle,Questionable,0.5,Limited,0,1
Trentyn Flowers,CHI,F,Illness,Out,1.0,Out,1,0
Johnny Furphy,IND,G,Ankle,Doubtful,1.0,Out,1,0
Aaron Gordon,DEN,F,Hamstring,Out,1.0,Out,1,0
Josh Green,CHA,F,Shoulder,Doubtful,1.0,Out,1,0
Jalen Green,PHX,G,Hamstring,Out,1.0,Out,1,0
Tyrese Haliburton,IND,G,Achilles,Out For Season,0.0,Active,0,0
Dylan Harper,SAS,G,Calf,Doubtful,1.0,Out,1,0
Tobias Harris,DET,F,Ankle,Questionable,0.5,Limited,0,1
Scoot Henderson,POR,G,Hamstring,Out,1.0,Out,1,0
Tyler Herro,MIA,G,Ankle,Out,1.0,Out,1,0
Haywood Highsmith,BKN,F,Knee,Out,1.0,Out,1,0
Jrue Holiday,POR,G,Calf,Out,1.0,Out,1,0
Al Horford,GSW,C,Undisclosed,Questionable,0.5,Limited,0,1
Kevin Huerter,CHI,G,Illness,Questionable,0.5,Limited,0,1
Kyrie Irving,DAL,G,Knee,Out,1.0,Out,1,0
Jaden Ivey,DET,G,Knee,Questionable,0.5,Limited,0,1
Quenton Jackson,IND,G,Hamstring,Doubtful,1.0,Out,1,0
Jaren Jackson,MEM,F,Ankle,Doubtful,1.0,Out,1,0
Ty Jerome,MEM,G,Calf,Out,1.0,Out,1,0
AJ Johnson,WAS,G,Ankle,Out,1.0,Out,1,0
Tre Johnson,WAS,G,Hip,Questionable,0.5,Limited,0,1
Herbert Jones,NOP,F,Back,Questionable,0.5,Limited,0,1
Derrick Jones,LAC,F,Knee,Out,1.0,Out,1,0
Kam Jones,IND,G,Back,Out,1.0,Out,1,0
Tre Jones,CHI,G,Ankle,Probable,0.5,Limited,0,1
Nikola Jovic,MIA,F,Hip,Out,1.0,Out,1,0
Ryan Kalkbrenner,CHA,C,Ankle,Questionable,0.5,Limited,0,1
Walker Kessler,UTA,C,Shoulder,Out For Season,0.0,Active,0,0
Bobi Klintman,DET,F,Ankle,Out,1.0,Out,1,0
Jonathan Kuminga,GSW,F,Knee,Questionable,0.5,Limited,0,1
Kyle Kuzma,MIL,F,Illness,Questionable,0.5,Limited,0,1
Kawhi Leonard,LAC,F,Ankle,Probable,0.5,Limited,0,1
Damian Lillard,POR,G,Achilles,Out For Season,0.0,Active,0,0
Dereck Lively,DAL,C,Knee,Out,1.0,Out,1,0
Tre Mann,CHA,G,Ankle,Questionable,0.5,Limited,0,1
Karlo Matkovic,NOP,C,Calf,Out,1.0,Out,1,0
Miles McBride,NYK,G,Illness,Questionable,0.5,Limited,0,1
Kevin McCullar,NYK,F,Back,Questionable,0.5,Limited,0,1
Jordan McLaughlin,SAS,G,Hamstring,Questionable,0.5,Limited,0,1
De'Anthony Melton,GSW,G,Knee,Out,1.0,Out,1,0
Sam Merrill,CLE,G,Hand,Questionable,0.5,Limited,0,1
Khris Middleton,WAS,F,Knee,Out,1.0,Out,1,0
Jordan Miller,LAC,G,Hamstring,Doubtful,1.0,Out,1,0
Ja Morant,MEM,G,Calf,Out,1.0,Out,1,0
Dejounte Murray,NOP,G,Achilles,Out,1.0,Out,1,0
Collin Murray-Boyles,TOR,F,Knee,Questionable,0.5,Limited,0,1
Eli John Ndiaye,ATL,F,Groin,Questionable,0.5,Limited,0,1
Ryan Nembhard,DAL,G,Knee,Doubtful,1.0,Out,1,0
Aaron Nesmith,IND,F,Knee,Out,1.0,Out,1,0
Georges Niang,UTA,F,Foot,Out,1.0,Out,1,0
Onyeka Okongwu,ATL,C,Ankle,Questionable,0.5,Limited,0,1
Isaac Okoro,CHI,F,Back,Questionable,0.5,Limited,0,1
Kelly Oubre,PHI,F,Knee,Out,1.0,Out,1,0
Scotty Pippen,MEM,G,Toe,Out,1.0,Out,1,0
Jordan Poole,NOP,G,Quadriceps,Out,1.0,Out,1,0
Kevin Porter,MIL,G,Knee,Out,1.0,Out,1,0
Norman Powell,MIA,G,Hip,Probable,0.5,Limited,0,1
Taurean Prince,MIL,F,Neck,Out,1.0,Out,1,0
Terry Rozier,MIA,G,Not Injury Related,Out,1.0,Out,1,0
D'Angelo Russell,DAL,G,Illness,Questionable,0.5,Limited,0,1
Domantas Sabonis,SAC,C,Knee,Out,1.0,Out,1,0
Ben Saraf,BKN,G,Ankle,Out,1.0,Out,1,0
Marcus Sasser,DET,G,Hip,Out,1.0,Out,1,0
Terrence Shannon,MIN,F,Foot,Doubtful,1.0,Out,1,0
Shaedon Sharpe,POR,G,Calf,Questionable,0.5,Limited,0,1
Javon Small,MEM,G,Toe,Out,1.0,Out,1,0
Thomas Sorber,OKC,C,Knee,Out For Season,0.0,Active,0,0
Julian Strawther,DEN,F,Back,Out,1.0,Out,1,0
Max Strus,CLE,F,Foot,Out,1.0,Out,1,0
Jayson Tatum,BOS,F,Achilles,Out,1.0,Out,1,0
Dalen Terry,CHI,F,Calf,Doubtful,1.0,Out,1,0
Cam Thomas,BKN,G,Hamstring,Out,1.0,Out,1,0
Matisse Thybulle,POR,F,Thumb,Out,1.0,Out,1,0
Nikola Topic,OKC,G,Groin,Out,1.0,Out,1,0
Obi Toppin,IND,F,Foot,Out,1.0,Out,1,0
Fred VanVleet,HOU,G,Knee,Out,1.0,Out,1,0
Moritz Wagner,ORL,C,Knee,Out,1.0,Out,1,0
Keaton Wallace,ATL,G,Personal,Out,1.0,Out,1,0
Victor Wembanyama,SAS,C,Calf,Out,1.0,Out,1,0
Blake Wesley,POR,G,Foot,Out,1.0,Out,1,0
Aaron Wiggins,OKC,F,Thigh,Doubtful,1.0,Out,1,0
Andrew Wiggins,MIA,F,Hip,Out,1.0,Out,1,0
Patrick Williams,CHI,F,Wrist,Questionable,0.5,Limited,0,1
Grant Williams,CHA,F,Knee,Doubtful,1.0,Out,1,0
Jalen Williams,OKC,F,Wrist,Questionable,0.5,Limited,0,1
Kenrich Williams,OKC,F,Knee,Doubtful,1.0,Out,1,0
Zion Williamson,NOP,F,Hamstring,Out,1.0,Out,1,0
Trae Young,ATL,G,Knee,Out,1.0,Out,1,0
