TEAM_NAME,PTS_ALLOWED,REB_ALLOWED,AST_ALLOWED,STL_ALLOWED,FG3M_ALLOWED,PTS_ALLOWED_RANK,REB_ALLOWED_RANK,AST_ALLOWED_RANK,STL_ALLOWED_RANK,FG3M_ALLOWED_RANK
Atlanta Hawks,119.3,43.7,28.2,9.2,14.3,26.5,13.0,24.0,27.5,25.5
Boston Celtics,107.2,43.7,24.0,6.9,12.9,2.0,13.0,3.0,2.0,6.5
Brooklyn Nets,112.2,43.7,27.1,8.0,12.9,10.5,13.0,19.5,13.0,6.5
Charlotte Hornets,114.2,45.2,26.8,8.8,14.2,16.0,23.0,16.0,22.5,22.5
Chicago Bulls,119.4,46.1,28.9,8.1,13.6,28.0,28.0,28.0,15.0,16.5
Cleveland Cavaliers,112.4,43.5,25.6,7.8,13.5,12.0,10.5,8.0,10.0,13.5
Dallas Mavericks,115.4,45.3,27.1,8.1,12.9,20.0,24.5,19.5,15.0,6.5
Denver Nuggets,116.9,42.5,29.0,8.7,14.1,24.5,6.5,29.0,20.5,20.0
Detroit Pistons,113.6,42.5,24.8,8.9,13.6,14.0,6.5,5.5,24.0,16.5
Golden State Warriors,110.5,44.1,25.9,7.6,13.2,8.0,15.0,10.5,8.0,11.5
Houston Rockets,109.8,42.1,23.5,7.9,12.3,6.0,3.5,2.0,11.5,2.0
Indiana Pacers,115.1,45.0,26.0,7.2,12.9,17.0,21.5,12.0,4.0,6.5
LA Clippers,108.2,41.5,25.7,8.8,13.0,4.0,1.0,9.0,22.5,9.0
Los Angeles Lakers,112.2,43.0,27.3,8.2,13.6,10.5,9.0,21.5,17.0,16.5
Memphis Grizzlies,116.9,43.5,27.0,8.7,14.2,24.5,10.5,17.5,20.5,22.5
Miami Heat,110.0,44.7,26.5,7.5,13.6,7.0,19.0,15.0,7.0,16.5
Milwaukee Bucks,113.0,45.3,26.4,7.3,13.9,13.0,24.5,14.0,5.0,19.0
Minnesota Timberwolves,109.3,42.9,24.8,8.4,12.7,5.0,8.0,5.5,18.0,3.5
New Orleans Pelicans,119.3,45.7,28.6,9.0,14.6,26.5,27.0,27.0,25.0,29.0
New York Knicks,111.7,41.8,25.2,7.0,13.1,9.0,2.0,7.0,3.0,10.0
Oklahoma City Thunder,107.6,44.9,24.6,6.7,13.5,3.0,20.0,4.0,1.0,13.5
Orlando Magic,105.5,42.1,22.8,7.7,11.4,1.0,3.5,1.0,9.0,1.0
Philadelphia 76ers,115.8,45.5,28.3,7.4,14.2,21.0,26.0,25.0,6.0,22.5
Phoenix Suns,116.6,44.2,27.3,8.5,14.2,22.0,17.0,21.5,19.0,22.5
Portland Trail Blazers,113.9,44.2,26.2,9.5,12.7,15.0,17.0,13.0,29.0,3.5
Sacramento Kings,115.3,42.3,27.0,7.9,14.5,19.0,5.0,17.5,11.5,28.0
San Antonio Spurs,116.7,46.2,28.0,8.1,14.4,23.0,29.0,23.0,15.0,27.0
Toronto Raptors,115.2,45.0,25.9,9.2,13.2,18.0,21.5,10.5,27.5,11.5
Utah Jazz,121.2,44.2,29.6,9.8,14.9,30.0,17.0,30.0,30.0,30.0
Washington Wizards,120.4,48.9,28.5,9.1,14.3,29.0,30.0,26.0,26.0,25.5
